Handle,Title,Body (HTML),Collection Type,Rule: Product Column,Rule: Relation,Rule: Condition,Must Match,Image Src,Published,Kind
acribond-accessories,Acribond Accessories,<p>Acribond Accessories</p>,Smart,Tag,Equals,Acribond Accessories,all,https://mytapestore.com.au/wp-content/uploads/2023/09/705.jpg,TRUE,category
aluminium-foil-tapes,Aluminium Foil Tape,"<p>Aluminium Foil Tape – Buy Online in Australia
Our aluminium foil tapes are the go-to choice for HVAC technicians, builders, and contractors all over Australia. Crafted for insulation, moisture protection, and sealing tasks, these top-notch tapes meet AS/NZS building standards. Whether you’re after just one roll or a bulk order, we’ve got you covered with heat-resistant foil tapes delivered quickly and reliably across the country.</p>",Smart,Tag,Equals,Aluminium Foil Tape,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Best-Tapes-For-Waterproofing.jpg,TRUE,category
atg-tapes,ATG Tapes,"<p>Buy ATG Tape Online at My Tape Store
Looking for a high-performance bonding solution? My Tape Store has ATG Tape, also known as adhesive transfer tape, for you. Designed from an acrylic adhesive film with no carrier, it gives precise and clean applications with strong, long-lasting adhesion on a variety of surfaces. Good to use on paper, plastic, and metal. With its quick stick and easy handling feature, our tape ensures a reliable bond without mess or residue. It comes with superb resistance to chemicals, solvents, humidity, and moisture.</p>",Smart,Tag,Equals,ATG Tapes,all,https://mytapestore.com.au/wp-content/uploads/2023/08/354.jpg,TRUE,category
automotive,Automotive Masking Tape,"<p>Automotive Masking Tape
Achieving flawless results in an automotive project, whether painting, detailing or performing repairs, is easy now. Grab the finest quality automotive masking tapes in Australia at My Tape Store. We have an exclusive range of masking tapes to meet all your needs.</p>",Smart,Tag,Equals,Automotive Masking Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/120.jpg,TRUE,category
barricade-hazard-tapes,Barricade Hazard Tapes,"<p>Barricade &amp; Hazard Tape for Safety, Warning &amp; Restricted Areas
Barrier tape is primarily used to draw attention or temporarily barricade hazardous areas. This plastic tape is commonly visible at the accident areas, construction sites and crime scenes. It is often seen in the limited safety areas, too. At My Tape Store, we offer a range of hazard tape collections which are specifically designed to meet the industry demands of Australia. Here, we are one of the foremost online suppliers and wholesalers of non-adhesive safety tapes, and presenting high-performance tapes is our forte. We aim to fulfil a wide range of industry demands such as lightweight, tear-resistant, durable and eco-friendly. Place an order for the best performance safety tapes today!</p>",Smart,Tag,Equals,Barricade Hazard Tapes,all,https://mytapestore.com.au/wp-content/uploads/2023/08/537-1-e1716145925531.jpg,TRUE,category
bumpers-tapes,Bumpers Tapes,"<p>Bumper Tapes
Bumper tape is a versatile protective solution available in a wider range at My Tape Store. We have designed this tape to help prevent scratches, dents, and impact on various surfaces. Buy bumper tape from our wider collection for various applications in cars, furniture, walls, or industrial equipment. Get a reliable cushioning layer to absorb shocks. We deliver them nationwide to the doorstep.</p>",Smart,Tag,Equals,Bumpers Tapes,all,,TRUE,category
butyl-tape,Butyl Tape,"<p>Butyl Tapes
Butyl tapes have now turned to be a staple adhesive solution in construction, repair, and maintenance. Thanks to its outstanding adhesive and waterproofing features. Made from synthetic butyl rubber, these tapes outperform traditional rubber adhesives by maintaining their stickiness and flexibility even in extreme temperatures, whether you are working in the heat of summer or the chill of winter.</p>",Smart,Tag,Equals,Butyl Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/262.jpg,TRUE,category
cloth-double-sided-tape,Cloth Double Sided Tape,"<p>Double-Sided Cloth Tapes
Double-sided cloth tape is a reliable solution for everyday needs. Its strong holding ability and fabric backing make it flexible, easy to use, and perfect for multiple tasks. Whether for crafts, décor, quick repairs, or mounting, this tape saves time and trouble—all without the mess of glue or nails. At My Tape Store, we supply quality double-sided cloth tape for both professional work and home projects. Trusted by designers, tailors, event contractors, and DIY enthusiasts across Australia, our products are backed by real-world use.</p>",Smart,Tag,Equals,Cloth Double Sided Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/303-2.jpg,TRUE,category
double-sided-tape,Double Sided Tape,"<p>Double Sided Tape
Here is a Range of Double Sided Tapes to Suit Your Applications
It is a versatile adhesive tool designed to stick two surfaces together. Unlike normal tape, which has adhesive on one side, double sided tape comes with premium-quality adhesion on both sides. This unique quality makes it highly useful for mounting, bonding, and securing objects and of course without any visible fasteners. Our double sided tapes are strong and flexible, perfect for bonding the same products or different materials.</p>",Smart,Tag,Equals,Double Sided Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/2-1.jpg,TRUE,category
duct-tape,Duct Tape,"<p>Duct Tapes
The duct tape structure gives maximum strength, and the rubber adhesive makes it a preferable choice for sealing boxes, fixing household items, etc. As Australia’s leading adhesive tape supplier, My Tape Store brings a premium collection of duct tapes designed to offer strength, flexibility, and strong adhesion.</p>",Smart,Tag,Equals,Duct Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/Duct-Tape.jpg,TRUE,category
