Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hook-loop-roll-adhesive-backed,Self Adhesive Hook and Loop Roll- Premium Quality,"<ul><li>100% Nylon- Grade A, Premium Quality.</li><li>Strong rubber based adhesive, can be used indoors &amp; outdoors.</li><li>Easily cut to size for custom strips</li><li>Heat resistant from -10 to 70°C.</li><li>Re-closable up to 5000 times.</li></ul><p>Our premium, high-quality self-adhesive hook and loop rolls are very easy to use, making them the perfect choice for quick fixes or organising items as needed. You just cut the length you need, peel off the backing, and stick it to a neat and clean surface. Great for many applications in the home, office, industries or DIY projects. This roll includes rough hooks and soft loops, and both of them together create a secure bond. Waterproof fastening is its strength, and thus, a self-adhesive hook and loop fastener makes an ideal choice for outdoor projects. Durable high-temperature adhesive designed for tough applications, including indoor and outdoor environments. It is available in both white and black colours. Its aggressive adhesion and durability come with a user-friendly application. Full bond strength is 24 hours (80% in an hour).</p><p>Key Features</p><ul><li>Easy to apply – Just peel and stick</li><li>Long-lasting, waterproof and strongly adhesive</li><li>Strong rubber adhesive on its back offers added effectiveness</li><li>No sewing or tools needed</li><li>Holds securely on clean, smooth surfaces</li><li>Waterproof, so ideal for outdoor use</li><li>Cut to any length – Flexible and easy to customise</li><li>Can be used again with the loop side</li></ul><p>Application Areas</p><ul><li>Manufacturing &amp; Assembly Lines: Temporarily securing components during production or assembly.</li><li>Automotive &amp; Transport Industry: Attaching interior panels, carpets, and upholstery.</li><li>Construction &amp; Building: Holding insulation materials, temporary covers, or protective sheets.</li><li>Home Organisation: Perfect for decorations, hanging shelves and photo frames</li><li>Garage Use: For holding emergency tools and car organisers</li><li>Workshop: Ideal to be used in mounting light accessories to the house or office walls</li><li>Clothing: A hook fastener is used to make costumes</li><li>DIY organisation: Hang tools, cords, or accessories</li><li>Office use: Attach signs, cables, or stationery items</li><li>Classrooms: Stick charts, posters, or art supplies</li><li>Crafts &amp; sewing: Great for projects and temporary fixes</li><li>Displays &amp; exhibitions: Mount lightweight items without damage</li></ul><p>Specifications</p><ul><li>Width – Available with variable width, 20, 25 and 50 mm</li><li>Length – Each roll is 25m Long</li><li>Colour – Available in Black and White Colour</li><li>Material: 100% Nylon</li><li>Adhesive Type: Pressure-sensitive (strong rubber adhesive)</li></ul>",My Tape Store,,Hook & Loop Tape,"Hook & Loop Tape, Display Signage, bestseller",TRUE,Size,50mm x 25m Loop,Colour,White,,,L50RAW,0,shopify,100,deny,manual,63.00,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2022/01/HookandlooptapeMTS1.png,1,Self Adhesive Hook and Loop Roll- Premium Quality,FALSE,Self Adhesive Hook and Loop Roll- Premium Quality,"Our premium, high-quality self-adhesive hook and loop rolls are very easy to use, making them the perfect choice for quick fixes or organising items as needed. You just cut the length you need, peel off the backing, and stick it to a neat and clean surface. Great for many applications in the home, office, industries or",active
hook-loop-roll-adhesive-backed,,,,,,,,Size,50mm x 25m Hook,Colour,White,,,H50RAW,0,shopify,100,deny,manual,63.00,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2022/01/Image-25.jpg,2,Self Adhesive Hook and Loop Roll- Premium Quality,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,25mm x 25m Loop,Colour,White,,,L25RAW,0,shopify,100,deny,manual,36.50,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2022/01/Image-26.jpg,3,Self Adhesive Hook and Loop Roll- Premium Quality,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,25mm x 25m Hook,Colour,White,,,H25RAW,0,shopify,100,deny,manual,36.50,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2022/01/Image-27.jpg,4,Self Adhesive Hook and Loop Roll- Premium Quality,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,20mm x 25m Loop,Colour,White,,,L20RAW,0,shopify,100,deny,manual,28.90,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2025/08/1.png,5,Self Adhesive Hook and Loop Roll- Premium Quality,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,20mm x 25m Hook,Colour,White,,,H20RAW,0,shopify,100,deny,manual,28.90,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2025/08/Image-12.jpg,6,Self Adhesive Hook and Loop Roll- Premium Quality,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,20mm x 25m Hook,Colour,Black,,,H20RAB,0,shopify,100,deny,manual,28.90,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2025/08/3.jpg,7,Self Adhesive Hook and Loop Roll- Premium Quality,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,20mm x 25m Loop,Colour,Black,,,L20RAB,0,shopify,100,deny,manual,28.90,,TRUE,TRUE,,,,,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,25mm x 25m Hook,Colour,Black,,,H25RAB,0,shopify,100,deny,manual,36.50,,TRUE,TRUE,,,,,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,25mm x 25m Loop,Colour,Black,,,L25RAB,0,shopify,100,deny,manual,36.50,,TRUE,TRUE,,,,,,,,
